id	filename	md5	size	state
dc77aa72-319f-4ff7-816b-d12985665e2f	bb073910-11f1-4f63-af0e-68b290c02313.rna_seq.augmented_star_gene_counts.tsv	852a9233b07b4decc757676411301900	4244622	released
db540696-d1c7-4853-817b-8f7b0714aa5e	ae453e2d-6a82-49b7-87ef-5835389c70ff.rna_seq.augmented_star_gene_counts.tsv	10b7ab8b3c82090faf79c0bd19143d9b	4243090	released
4973e34d-7b5e-4d3c-a554-f828bd507958	7bb8da1f-e5c9-4c87-bb94-46041e602c59.rna_seq.augmented_star_gene_counts.tsv	4fcf94578942cb0467832d6aad36cd22	4243541	released
48d59c1b-0086-4db3-bde1-c0d773a79039	a63e0a4b-8737-4a19-8592-8a180c37adcc.rna_seq.augmented_star_gene_counts.tsv	1a901d2c843c817d42a5b1faba9e4991	4241449	released
6dcbce7a-8c93-475d-853d-ad55c7b420a8	0477c7a6-ef2e-43e4-8506-9d8e4f7493f4.rna_seq.augmented_star_gene_counts.tsv	a2be1c170fbe73397a9cdfe5793bca14	4228618	released
45dfb0ee-7d53-4bd8-b1d0-4a0a3275e4b5	64dc3324-0550-432b-8237-cee3ca6aa392.rna_seq.augmented_star_gene_counts.tsv	47a5d3c279705b52e74298050dbdc65d	4231160	released
5836537e-faf8-42c6-88bf-92755b420c57	e025404f-fd84-467b-ba3f-244a4074e3fd.rna_seq.augmented_star_gene_counts.tsv	ee1d63d99ba91b176ddb018b34b92eb3	4244083	released
457ea661-5291-418b-abfb-c08ddefeeaff	fa1f9327-df9a-499f-bc56-c49088417617.rna_seq.augmented_star_gene_counts.tsv	d3f67926f18827cdb1b379fc2c2cc386	4241664	released
b0778e12-ee58-4da5-8dec-8235c1c5c6d2	0718ddb3-7c1e-43ae-bb24-a5ff16157ad5.rna_seq.augmented_star_gene_counts.tsv	c102c487d3fb58b03af69c18c28931ec	4258479	released
c5451c8b-d34a-4760-9d2d-2448b6ed832d	51a16fc2-4bb9-4c24-9f99-845d31b9ded2.rna_seq.augmented_star_gene_counts.tsv	4cba7952584ff95f847ddc71983e1833	4232962	released
1f2028e1-2ac9-4094-8258-cfa74628a584	c6be65eb-aa16-4fd6-8f49-01610b1b0810.rna_seq.augmented_star_gene_counts.tsv	3f107076bb65566a371b855e562da851	4238105	released
714864bb-2d5b-46f5-ac93-abb2f0a917a6	d1880019-5bce-47c7-8f0a-954f5fa9ccc9.rna_seq.augmented_star_gene_counts.tsv	f0378a47b02170833c013e25bc4c5f69	4250564	released
2d835125-fed7-4b0d-969e-7c6cee5f1363	20056b8d-000f-4a0a-954a-f537186278b1.rna_seq.augmented_star_gene_counts.tsv	ca62e632291ab8c8411b7047e4fa0a38	4213343	released
1373d436-3021-4d0d-8316-687f5249f295	e97e8e40-2fb4-43a2-a5db-ddabc84a7937.rna_seq.augmented_star_gene_counts.tsv	621d0af0d08c6d678866af4e5b6db4c4	4243180	released
8e66275b-3b15-4701-8cc7-a137806b87ae	3b54fd87-6631-4ae9-b303-bc14ffa51685.rna_seq.augmented_star_gene_counts.tsv	3f1dfc810d1a4f0e6ee237d320b2969b	4241350	released
2f6ca933-3daf-41dc-9403-880fa45ef36c	60028d9d-c8e5-4c4e-a75c-cc3df6f2eea1.rna_seq.augmented_star_gene_counts.tsv	1aebed103d330727337c1706fea80ca5	4245140	released
34d3e37e-42d8-463d-a00e-cc587890ae50	33321f4f-d814-4792-9613-b3e878f6da48.rna_seq.augmented_star_gene_counts.tsv	505a47e2081280b156023a32a0b42798	4252344	released
dba10e27-3793-4de2-800c-008ad0a567bf	6ae6442d-6817-45c1-9ab0-f2195449bd48.rna_seq.augmented_star_gene_counts.tsv	c6639a436cb37fbbda8e0dfaf3057f5b	4216539	released
